iter	Passed	Remaining
495	32175	32694
496	32216	32605
497	32249	32508
498	32290	32419
499	32356	32356
500	32427	32297
501	32477	32218
502	32519	32131
503	32560	32043
504	32599	31953
505	32690	31915
506	32764	31859
507	32839	31805
508	32907	31744
509	32969	31677
510	33029	31607
511	33094	31543
512	33168	31487
513	33217	31407
514	33267	31329
515	33346	31278
516	33383	31187
517	33438	31114
518	33499	31046
519	33543	30962
520	33653	30940
521	33897	31040
522	33947	30961
523	34005	30890
524	34050	30807
525	34095	30725
526	34149	30650
527	34196	30569
528	34263	30506
529	34394	30500
530	34437	30416
531	34481	30333
532	34523	30248
533	34562	30160
534	34636	30104
535	34700	30039
536	34761	29971
537	34848	29925
538	34888	29839
539	34934	29758
540	34980	29678
541	35025	29597
542	35094	29536
543	35143	29458
544	35196	29383
545	35236	29299
546	35279	29217
547	35321	29133
548	35363	29050
549	35400	28963
550	35467	28901
551	35515	28824
552	35551	28737
553	35591	28653
554	35634	28571
555	35675	28488
556	35709	28401
557	35754	28321
558	35805	28247
559	35862	28177
560	35910	28101
561	35955	28022
562	36000	27943
563	36064	27879
564	36108	27800
565	36150	27719
566	36198	27643
567	36243	27565
568	36324	27514
569	36381	27445
570	36443	27380
571	36482	27297
572	36524	27217
573	36558	27132
574	36616	27064
575	36654	26981
576	36697	26903
577	36727	26815
578	36793	26752
579	36839	26676
580	36890	26604
581	36934	26526
582	36978	26449
583	37016	26367
584	37084	26307
585	37130	26231
586	37186	26163
587	37228	26085
588	37268	26005
589	37323	25936
590	37364	25857
591	37417	25788
592	37458	25709
593	37508	25637
594	37547	25557
595	37625	25504
596	37688	25441
597	37828	25429
598	37916	25382
599	37955	25303
600	38004	25231
601	38046	25153
602	38106	25088
603	38142	25007
604	38201	24941
605	38329	24920
606	38383	24851
607	38417	24769
608	38457	24691
609	38500	24615
610	38537	24535
611	38586	24463
612	38665	24410
613	38728	24347
614	38767	24269
615	38829	24205
616	38875	24131
617	38906	24049
618	38948	23972
619	38999	23903
620	39078	23849
621	39114	23770
622	39177	23707
623	39223	23634
624	39261	23556
625	39304	23482
626	39339	23402
627	39370	23321
628	39428	23255
629	39470	23181
630	39512	23106
631	39545	23026
632	39608	22964
633	39659	22895
634	39700	22819
635	39748	22749
636	39797	22679
637	39852	22612
638	39889	22535
639	39940	22466
640	39985	22394
641	40034	22324
642	40069	22246
643	40105	22170
644	40162	22105
645	40198	22028
646	40242	21956
647	40281	21881
648	40323	21808
649	40366	21735
650	40400	21658
651	40455	21592
652	40492	21517
