iter	Logloss
0	0.6171298669
1	0.554104614
2	0.5005253016
3	0.4538275535
4	0.4158968286
5	0.3850326575
6	0.3585538877
7	0.3362980242
8	0.3170777086
9	0.3021583046
10	0.2876728879
11	0.2743956953
12	0.2629346905
13	0.2532029448
14	0.2455052734
15	0.2405700746
16	0.2321839169
17	0.2258870639
18	0.2196910801
19	0.2141360868
20	0.2093287697
21	0.2054657902
22	0.2021491008
23	0.1989520862
24	0.1965661151
25	0.1941938298
26	0.1919962602
27	0.1900022621
28	0.1884312532
29	0.1871811634
30	0.1861450631
31	0.1850189579
32	0.1841608283
33	0.1830937364
34	0.182197947
35	0.1815276395
36	0.1807055506
37	0.1800879473
38	0.1791609987
39	0.1785682362
40	0.177874445
41	0.1771171728
42	0.1765008805
43	0.1760693362
44	0.1755499735
45	0.1750567972
46	0.1745638594
47	0.1740613444
48	0.1736253325
49	0.1730293408
50	0.1725566676
51	0.1721081954
52	0.171780076
53	0.1715451146
54	0.1711521019
55	0.1708670415
56	0.1704090704
57	0.1703601245
58	0.1700792841
59	0.1697412634
60	0.1695728453
61	0.1692245988
62	0.1691446877
63	0.1690323766
64	0.1688355433
65	0.1686568934
66	0.1684305662
67	0.1682525798
68	0.1679083589
69	0.1675982045
70	0.1671492293
71	0.1669872682
72	0.1666742554
73	0.1665185814
74	0.1663368227
75	0.1659806742
76	0.1657557263
77	0.1655613724
78	0.1653901493
79	0.1651910591
80	0.1650492269
81	0.1647705035
82	0.1646109284
83	0.164433561
84	0.1641720081
85	0.1640764885
86	0.1640764799
87	0.1640085044
88	0.1638023678
89	0.1636832524
90	0.163595689
91	0.1635669575
92	0.1635156986
93	0.1634519839
94	0.163292975
95	0.163102599
96	0.1631025958
97	0.1629349913
98	0.1627807375
99	0.1627159276
100	0.1626484759
101	0.1625113515
102	0.1624304843
103	0.1623020507
104	0.1620749708
105	0.1620327168
106	0.1619217763
107	0.161821298
108	0.1616663994
109	0.1615694802
110	0.1614121302
111	0.1613658558
112	0.1611693204
113	0.1611164176
114	0.1610604518
115	0.1610096672
116	0.1609153751
117	0.1608298923
118	0.1606816518
119	0.1606038146
120	0.1604089775
121	0.1602768257
122	0.1601637704
123	0.1601157435
124	0.1599174321
125	0.1598050118
126	0.159779548
127	0.1596587412
128	0.159605209
129	0.1594097421
130	0.1593497012
131	0.1593203441
132	0.1592332961
133	0.1591988376
134	0.1590823141
135	0.1590171618
136	0.1587610308
137	0.158653395
138	0.1585997185
139	0.1584937045
140	0.1584406373
141	0.1584183078
142	0.1582601192
143	0.1582192116
144	0.158056861
145	0.15805686
146	0.1580568572
147	0.1579570047
148	0.1578009431
149	0.1577618653
150	0.1577420685
151	0.1576209247
152	0.1575575505
153	0.1574557384
154	0.1573707339
155	0.1570982981
156	0.1570200128
157	0.1570200128
158	0.1568892461
159	0.1567737807
160	0.156624838
161	0.1565303324
162	0.1563087922
163	0.1562258676
164	0.1560840701
165	0.1560579884
166	0.1560041032
167	0.1558734449
168	0.1558079281
169	0.1557405926
170	0.1557351368
171	0.1555947628
172	0.1555010821
173	0.1553983543
174	0.1552378336
175	0.155205074
176	0.1551498348
177	0.1550163941
178	0.1548658107
179	0.1547803007
180	0.1546873487
181	0.1546316674
182	0.154522007
183	0.1544985414
184	0.1544362174
185	0.1543906988
186	0.1543025502
187	0.154202138
188	0.1541415463
189	0.1540039808
190	0.1539385845
191	0.1538228068
192	0.1538076924
193	0.1537410272
194	0.15363871
195	0.1535842743
196	0.1534916767
197	0.1533630702
198	0.15332549
199	0.1532737983
200	0.153221003
201	0.1531413638
202	0.1530199967
203	0.1529398162
204	0.1528603703
205	0.1526756518
206	0.1526169503
207	0.1525447995
208	0.152493607
209	0.1524090309
210	0.1523403759
211	0.1522558653
212	0.1522247701
213	0.1521207802
214	0.1520962812
215	0.1519242
216	0.1518557725
217	0.1517621609
218	0.1517163507
219	0.1516786795
220	0.1516786701
221	0.1515694026
222	0.1513953649
223	0.1513953464
224	0.1513273154
225	0.1512402354
226	0.1511525471
227	0.1511324836
228	0.1511322379
229	0.151052328
230	0.1509302731
231	0.1509049404
232	0.1508618958
233	0.1507946783
234	0.1506899365
235	0.1505743295
236	0.1505469148
237	0.1505405353
238	0.1504529885
239	0.1503778517
240	0.1503190909
241	0.1502222547
242	0.1502161501
243	0.1501918022
244	0.150152731
245	0.150056986
246	0.1498379371
247	0.1497975015
248	0.1497275213
249	0.1496936996
250	0.1496271407
251	0.1495666571
252	0.1494923504
253	0.1494259517
254	0.1493678733
255	0.1492786944
256	0.1491819625
257	0.1491231966
258	0.1490634149
259	0.1488848181
260	0.1488112936
261	0.1487649813
262	0.1487369345
263	0.1487300961
264	0.1486429687
265	0.1485698368
266	0.1484452345
267	0.1483857019
268	0.1482872916
269	0.1482025392
270	0.1481208684
271	0.1480156215
272	0.1479921849
273	0.1479921829
274	0.147838068
275	0.1477384256
276	0.1477225883
277	0.1476628403
278	0.1475819086
279	0.1474798633
280	0.1474241247
281	0.147309629
282	0.1472322408
283	0.1471123744
284	0.1470272089
285	0.1469991561
286	0.1469376575
287	0.1469126282
288	0.1467972235
289	0.1467490115
290	0.146703166
291	0.1466268479
292	0.1463702883
293	0.146313601
294	0.146104981
295	0.1459815064
296	0.1458715698
297	0.1458004343
298	0.1457487177
299	0.145667186
300	0.1456213645
301	0.1455577166
302	0.1454951972
303	0.1454043245
304	0.1453534755
305	0.1452995974
306	0.1452442167
307	0.1452122876
308	0.1451858135
309	0.1451149079
310	0.1450517022
311	0.1450045503
312	0.1448374732
313	0.1447913946
314	0.144708806
315	0.1446505363
316	0.1445450079
317	0.1445060429
318	0.1444577493
319	0.1444031504
320	0.1443637558
321	0.1442351177
322	0.1441792022
323	0.1441381667
324	0.1440239404
325	0.1439155803
326	0.1438220001
327	0.1436974766
328	0.1436211153
329	0.1435739104
330	0.1435104582
331	0.143465925
332	0.1432898561
333	0.1431905329
334	0.1430537857
335	0.1429700465
336	0.1429286711
337	0.1429051453
338	0.1428334453
339	0.1427811148
340	0.142731323
341	0.1426862015
342	0.1426493998
343	0.1425713199
344	0.1425311992
345	0.142523624
346	0.1424577886
347	0.1424290649
348	0.1423291485
349	0.1422237469
350	0.142158394
351	0.1421343291
352	0.1420782495
353	0.1420575904
354	0.1419690956
355	0.141895968
356	0.1418268559
357	0.1417732809
358	0.1417266987
359	0.1416503827
360	0.1415942932
361	0.141531627
362	0.1414435893
363	0.1413504475
364	0.1412171787
365	0.1411820101
366	0.1411317933
367	0.141015599
368	0.1409915749
369	0.1409590457
370	0.1409208408
371	0.1409081438
372	0.1408669582
373	0.1407960433
374	0.1407290531
375	0.1406620437
376	0.1405769451
377	0.1405443556
378	0.1404769355
379	0.1404133316
380	0.140365262
381	0.1403149647
382	0.1402581909
383	0.140155721
384	0.1400802446
385	0.1400120608
386	0.1399379231
387	0.1398645564
388	0.1397655654
389	0.1396577801
390	0.1395783629
391	0.1395421593
392	0.1394772429
393	0.1393946929
394	0.1393557203
395	0.1393218097
396	0.1392983912
397	0.1392709391
398	0.1392111374
399	0.1390825535
400	0.139063028
401	0.1390216429
402	0.1389788778
403	0.1389221804
404	0.1388385051
405	0.138822086
406	0.1387584802
407	0.1387027049
408	0.138623532
409	0.1385428588
410	0.1384730251
411	0.1384137296
412	0.1383156547
413	0.1382718739
414	0.1382502092
415	0.1382277907
416	0.1380486928
417	0.1379911488
418	0.1379013937
419	0.1378543016
420	0.1378088417
421	0.1377332226
422	0.1376411132
423	0.1375678987
424	0.1375033195
