iter	Logloss
425	0.1374399379
426	0.1373742064
427	0.1372957927
428	0.1372137501
429	0.1371612835
430	0.1370977095
431	0.137035611
432	0.1369889979
433	0.1369528747
434	0.1368908701
435	0.1368432968
436	0.1368314114
437	0.1367927322
438	0.1367818141
439	0.1367764471
440	0.1366935631
441	0.1366334981
442	0.1365234379
443	0.1364876252
444	0.1363803177
445	0.1363202332
446	0.1362454781
447	0.1361699633
448	0.1361040834
449	0.1360856885
450	0.1360621891
451	0.1360376134
452	0.1359944166
453	0.1359767883
454	0.1359606722
455	0.1359481377
456	0.1358870791
457	0.1358601064
458	0.1357964133
459	0.1357495992
460	0.135698849
461	0.135625162
462	0.1355294478
463	0.1354435706
464	0.1353336538
465	0.1352763697
466	0.1352150747
467	0.1351817184
468	0.1351521478
469	0.1350862272
470	0.1350374954
471	0.1349664103
472	0.134869503
473	0.1347613387
474	0.1347226978
475	0.1346683094
476	0.1345953466
477	0.1345444218
478	0.1344699348
479	0.1344043964
480	0.1343216625
481	0.1342200972
482	0.1341575468
483	0.134087484
484	0.1340439784
485	0.1339732629
486	0.1339237004
487	0.1338769614
488	0.1338034269
489	0.1337083552
490	0.1336862633
491	0.1336679015
492	0.133655383
493	0.1336161066
494	0.1335827451
495	0.1335074835
496	0.1333506733
497	0.1333102279
498	0.1331987412
499	0.1331807933
500	0.133129816
501	0.1331197778
502	0.1330946724
503	0.1330331981
504	0.1329610107
505	0.1329428994
506	0.1328689401
507	0.1328454455
508	0.1327718597
509	0.1327152615
510	0.1326791645
511	0.1326312464
512	0.1325928482
513	0.1324878439
514	0.1323489405
515	0.132318647
516	0.1322692921
517	0.1321471656
518	0.1320590184
519	0.131998812
520	0.131966746
521	0.1319388179
522	0.1318915343
523	0.13182904
524	0.1317870744
525	0.1317067521
526	0.1316494588
527	0.1316354418
528	0.1315294506
529	0.1314845548
530	0.1313668602
531	0.1313546947
532	0.1313317129
533	0.131290879
534	0.1312456084
535	0.1312225881
536	0.1311964853
537	0.1311218
538	0.1310439432
539	0.1309523518
540	0.1309058201
541	0.1308481742
542	0.1308089499
543	0.1307741769
544	0.130635128
545	0.1306189526
546	0.1306098202
547	0.1305654691
548	0.1305174355
549	0.1304378318
550	0.1304084028
551	0.1303551471
552	0.1303422801
553	0.1301790542
554	0.1301043269
555	0.1300457763
556	0.1299391553
557	0.1299110279
558	0.129898218
559	0.1298506589
560	0.1298033818
561	0.1296806439
562	0.1296131592
563	0.1295896499
564	0.129525554
565	0.1294431152
566	0.1294079141
567	0.1293351154
568	0.1293350263
569	0.1293034855
570	0.1292483871
571	0.1291577684
572	0.1290982677
573	0.1290305516
574	0.1290247091
575	0.1289603419
576	0.1289090282
577	0.128859447
578	0.1288466344
579	0.1288096109
580	0.1287300041
581	0.128693294
582	0.1285928029
583	0.1285508758
584	0.1285271258
585	0.1284593745
586	0.1283986898
587	0.1283626235
588	0.128353016
589	0.128308029
590	0.1282535222
591	0.1282256306
592	0.128165057
593	0.1281463515
594	0.1280725726
595	0.1280514316
596	0.1279886775
597	0.1279339133
598	0.1279338944
599	0.1278889866
600	0.12782258
601	0.127794176
602	0.1277498698
603	0.1277204422
604	0.1275727405
605	0.1275248533
606	0.1274533016
607	0.1274123375
608	0.1273220716
609	0.1272430848
610	0.1271600972
611	0.127122126
612	0.1270925342
613	0.1270924949
614	0.1269666092
615	0.1268624182
616	0.1268107823
617	0.1267763334
618	0.1267259941
619	0.1266339097
620	0.1265851768
621	0.126538867
622	0.1264622602
623	0.1264334799
624	0.1263821636
625	0.1263378686
626	0.1262835072
627	0.1261959005
628	0.1261747635
629	0.1261080616
630	0.1260724882
631	0.1260292929
632	0.1259854074
633	0.1259025126
634	0.12586442
635	0.1257647177
636	0.1256854541
637	0.1255920284
638	0.1255781426
639	0.125529836
640	0.1255112896
641	0.1254702221
642	0.1254332435
643	0.125364463
644	0.1252595539
645	0.1252132832
646	0.1251259214
647	0.1251040394
648	0.1250254442
649	0.1249836203
650	0.1249326067
651	0.1248584097
652	0.1247765481
